personas,40117096
varones,19523766
mujeres,20593330
fecha,fallecidos,terapia,casos_dx,graves,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,0,0,1,1,0,0,0
2020-01-02,0,0,0,0,0,0,1,1,0
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,1,1,0
2020-01-08,0,0,0,0,0,0,1,1,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,1,1,0
2020-01-21,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,1,1,0
2020-01-27,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,1,1,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,1,1,0
2020-01-31,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,1,1,0
2020-02-04,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,1,1,0
2020-02-06,0,0,0,0,0,0,1,1,0
2020-02-07,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,2,2,0
2020-02-09,0,0,0,0,0,0,1,1,0
2020-02-10,0,0,0,0,0,0,2,2,0
2020-02-11,0,0,0,0,2,0,0,0,0
2020-02-12,0,0,0,0,0,0,1,1,0
2020-02-13,0,0,0,0,0,0,1,1,0
2020-02-14,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,1,1,0
2020-02-18,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,2,0,2,2,0
2020-02-21,0,0,0,0,0,0,1,1,0
2020-02-22,0,0,0,0,0,0,3,3,0
2020-02-23,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,1,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,5,0,2,2,0
2020-02-28,0,0,0,0,9,0,3,3,0
2020-02-29,0,0,0,0,0,0,1,1,0
2020-03-01,0,0,0,0,0,1,5,5,0
2020-03-02,0,0,0,0,5,1,9,9,1
2020-03-03,0,0,1,0,7,3,7,7,1
2020-03-04,0,1,0,1,6,1,7,7,1
2020-03-05,0,0,0,0,7,2,7,7,5
2020-03-06,0,0,6,0,10,3,17,17,1
2020-03-07,1,0,1,0,8,4,4,4,6
2020-03-08,0,1,2,1,26,1,15,15,2
2020-03-09,0,3,6,3,12,8,23,23,4
2020-03-10,0,0,2,0,28,3,23,24,8
2020-03-11,0,0,4,0,30,13,32,33,11
2020-03-12,0,2,10,2,41,13,43,43,18
2020-03-13,1,1,6,1,82,16,43,44,30
2020-03-14,0,4,7,4,49,14,55,55,10
2020-03-15,0,2,11,2,79,18,59,61,16
2020-03-16,0,1,10,1,100,13,84,85,26
2020-03-17,0,3,18,3,120,33,89,93,49
2020-03-18,1,5,29,5,190,38,76,81,44
2020-03-19,0,3,22,3,137,25,113,113,37
2020-03-20,0,4,30,4,214,42,131,131,79
2020-03-21,1,6,62,6,293,44,145,146,66
2020-03-22,0,7,54,7,218,51,93,89,76
2020-03-23,0,5,31,5,257,63,127,126,98
2020-03-24,3,6,106,6,389,42,101,108,110
2020-03-25,4,10,114,12,444,48,107,104,107
2020-03-26,4,12,110,13,484,43,92,101,97
2020-03-27,2,7,81,7,362,54,90,96,109
2020-03-28,2,11,68,12,412,45,78,72,79
2020-03-29,3,10,111,10,625,53,68,81,87
2020-03-30,3,19,84,19,532,66,92,93,120
2020-03-31,3,12,90,13,590,49,82,85,87
2020-04-01,7,11,119,13,932,51,90,93,100
2020-04-02,5,9,142,9,1295,73,92,92,123
2020-04-03,3,9,102,10,1259,50,90,93,97
2020-04-04,3,7,101,9,1097,40,88,90,85
2020-04-05,9,12,71,14,828,37,58,83,57
2020-04-06,7,5,104,9,1094,59,93,92,112
2020-04-07,6,10,75,13,1393,52,84,95,103
2020-04-08,11,6,101,10,1545,51,101,119,96
2020-04-09,8,4,96,6,1448,29,114,98,103
